"Name"	"dX"	"Nv"	"dR"	"Tc"
"37"	"[Y1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	88.4840706150341
"38"	"[Y1.6Ba2.4]Cu3O10"	-1.82917647058823	6.03529411764706	1.43555294117647	90
"39"	"[Y1.2Ba1.8]Cu2O7"	-1.84466666666667	5.93333333333333	1.5087	92
"40"	"[Y0.8Ba1.2]Cu1O4"	-1.88228571428571	5.68571428571429	1.68634285714286	87
"41"	"[Nd0.4Ba0.6]Cu1O2.33"	-2.06928406466513	6.32332563510393	1.45496535796767	85
"42"	"[Eu0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	8
"43"	"[Gd0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	13
"44"	"[Dy0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	91
"45"	"[Ho0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	94
"46"	"[Er0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	93
"47"	"[Tm0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	93
"48"	"[Lu0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	91
"49"	"[Nd2Ba3]Cu5O11.67"	-2.06737425011537	6.32302722658053	1.45362251961237	18
"50"	"[Sm1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	81.5317391304348
"51"	"[Gd2Ba3]Cu5O11.67"	-2.06737425011537	6.32302722658053	1.45362251961237	40
"52"	"[Y0.3Ba0.7]Cu1O3"	-1.792	6.26	1.26	95.5
"53"	"[Y0.6Ba0.9]Cu1O4"	-1.70276923076923	5.93846153846154	1.39264615384615	88
"54"	"[Ba0.3La1.7Hg0.15]Cu0.85O4"	-1.83007973421927	5.83571428571429	1.73561196013289	28
"55"	"[Yb1.6La0.2Ba0.2]Cu1O4"	-1.90771428571429	5.82857142857143	1.77291428571429	79.2
"56"	"[Sr0.35La1.65]Cu1O4"	-1.85385714285714	5.80714285714286	1.65364285714286	26
"57"	"[Y0.4Ba0.6]Cu1O2.33"	-2.06928406466513	6.32332563510393	1.45496535796767	92
"58"	"[Yb0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	88
"59"	"[Lu1.8Ba0.2]Cu1O4"	-1.88914285714286	5.82857142857143	1.73091428571429	71.9
"60"	"[Y0.9Ba0.1]Cu1O4"	-1.49333333333333	6.31666666666667	1.05	81
"61"	"[Sr0.2La1.8][Cu0.95Ti0.05]O4"	-1.82685714285714	5.77857142857143	1.66628571428571	21
"62"	"[Sr0.2La1.8][Cu0.99V0.01]O4"	-1.84262857142857	5.82	1.65308571428571	12
"63"	"[Sr0.2La1.8][Cu0.99Cr0.01]O4"	-1.84388571428571	5.82142857142857	1.65314285714286	22
"64"	"[Sr0.2La1.8][Cu0.98Mn0.02]O4"	-1.83817142857143	5.81714285714286	1.65291428571429	32
"65"	"[Sr0.2La1.8][Cu0.95Fe0.05]O4"	-1.83228571428571	5.80714285714286	1.65285714285714	30
"66"	"[Sr0.2La1.8][Cu0.95Co0.05]O4"	-1.83085714285714	5.81428571428571	1.65028571428571	16
"67"	"[Sr0.2La1.8][Cu0.95Ni0.05]O4"	-1.82971428571429	5.82142857142857	1.65485714285714	21
"68"	"[Sr0.2La1.8][Cu0.99Zn0.01]O4"	-1.84708571428571	5.83	1.64994285714286	29
"69"	"[Pr0.1La1.7Sr0.2]Cu1O4"	-1.85271428571429	5.82857142857143	1.67085714285714	36
"70"	"[Nd0.1La1.7Sr0.2]Cu1O4"	-1.85128571428571	5.82857142857143	1.66385714285714	35
"71"	"[Sm0.1La1.7Sr0.2]Cu1O4"	-1.85128571428571	5.82857142857143	1.666	32
"72"	"[Gd0.1La1.7Sr0.2]Cu1O4"	-1.85271428571429	5.82857142857143	1.66271428571429	30
"73"	"[Y1Ba2][Cu2.85Fe0.15]O7"	1.43461538461538	6.27307692307692	0.140461538461538	62.9714285714286
"74"	"[Y1Ba2][Cu2.7Fe0.3]O7"	1.38923076923077	6.23846153846154	0.135076923076923	29.6857142857143
"75"	"[Y1Ba2][Cu2.97Fe0.03]O7"	1.47092307692308	6.30076923076923	0.144769230769231	87.9142857142857
"76"	"[Y1Ba2][Cu2.94Fe0.06]O7"	1.46184615384615	6.29384615384615	0.143692307692308	79.4666666666667
"77"	"[Y1Ba2][Cu2.88Fe0.12]O7"	1.44369230769231	6.28	0.141538461538462	71.3
"78"	"[Y1Ba2]Cu3[S1O6]"	-1.97934065934066	6.30769230769231	1.37010989010989	89.5
"79"	"[Y1Ba2]Cu3[Cl1O6]"	-2.02285714285714	6.38461538461538	1.38197802197802	72
"80"	"[Gd1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	90.649375
"81"	"[Ho1Ba2]Cu3O8"	-1.92	6.28571428571429	1.35	85
"82"	"[Y0.1Gd0.9Ba2]Cu3O8"	-1.92	6.28571428571429	1.35	90.5
"83"	"[Er1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	95.658064516129
"84"	"[Y3Ba5][Cu4Nb1]O18"	-1.73217741935484	5.67741935483871	1.64395161290323	77.3
"85"	"[Sm0.45Ba0.55]Cu1O3"	-1.792	6.29	1.26	69
"86"	"[Sm0.4Ba0.6]Cu1O3"	-1.792	6.28	1.26	84.3
"87"	"[Sm0.33Ba0.67]Cu1O7"	-0.995555555555555	6.14777777777778	0.7	86.4
"88"	"[Sm0.3Ba0.7]Cu1O3"	-1.792	6.26	1.26	88.8
"89"	"[Sm0.25Ba0.75]Cu1O3"	-1.792	6.25	1.26	73.6
"90"	"[Sm0.2Ba0.8]Cu1O3"	-1.792	6.24	1.26	62.5
"91"	"[Sm0.35Ba0.65]Cu1O3"	-1.792	6.27	1.26	93.1
"92"	"[Y1Ba2]Cu3O9"	-1.792	6.26666666666667	1.26	90.8571428571429
"93"	"[Bi2Sr2]Cu2O7"	-1.89692307692308	6	1.62723076923077	22
"95"	"[Ho1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	89.3965
"96"	"[Y1Ba2]Cu3O6.9"	-2.08372093023256	6.31007751937985	1.46511627906977	90.9753947368421
"97"	"[Eu1.5Ba1.5]Cu3O7"	-2.06769230769231	6.34615384615385	1.45384615384615	89.5
"98"	"[Gd1.5Ba1.5]Cu3O7"	-2.06769230769231	6.34615384615385	1.45384615384615	92.5
"99"	"[Y1.5Ba1.5]Cu3O7"	-2.06769230769231	6.34615384615385	1.45384615384615	90
"100"	"[Yb1.5Ba1.5]Cu3O7"	-2.06769230769231	6.34615384615385	1.45384615384615	90
"101"	"[Y1Ba2][Cu2.75Ni0.25]O7"	1.39282051282051	6.28846153846154	0.127897435897436	63.9
"102"	"[Y1Ba2][Cu2.95Al0.05]O7"	1.46564102564103	6.27692307692308	0.155205128205128	88
"103"	"[Y1Ba2][Cu2.9Al0.1]O7"	1.45128205128205	6.24615384615385	0.164564102564103	75
"104"	"[La1.85Sr0.15][Cu0.975Ni0.025]O4"	-1.83785714285714	5.83214285714286	1.65192857142857	19.4166666666667
"105"	"[La1.85Sr0.15][Cu0.95Ni0.05]O4"	-1.82814285714286	5.82857142857143	1.65392857142857	4.2
"106"	"[Y1Ba2][Cu2.89Al0.11]O7"	1.44841025641026	6.24	0.166435897435898	82
"107"	"[Y1Ba2][Cu2.88Al0.12]O7"	1.44553846153846	6.23384615384615	0.168307692307693	65.8666666666667
"108"	"[Y1Ba2][Cu2.87Al0.13]O7"	1.44266666666667	6.22769230769231	0.170179487179487	45
"109"	"[Y1Ba2][Cu2.865Al0.135]O7"	1.44123076923077	6.22461538461538	0.171115384615385	45
"110"	"[Y1Ba2][Cu2.82Al0.18]O7"	1.42830769230769	6.19692307692308	0.179538461538462	52.7
"111"	"[Y1Ba2]Cu3O6.8"	-2.1	6.3125	1.4765625	83.0578947368421
"112"	"[Y1Ba2]Cu3[H0.14O7]"	-2.02381591906169	6.25114155251142	1.42429940012535	92.5
"113"	"[Y1Ba2]Cu3[H0.48O7]"	-1.92437201478919	6.1186943620178	1.35723353274409	70.8
"114"	"[Y1Ba2]Cu3[H1O7]"	-1.78928571428571	5.92857142857143	1.26589285714286	75.4166666666667
"115"	"[Eu1Ba2]Cu3O7.1"	-2.05190839694656	6.30534351145038	1.44274809160305	94.9
"116"	"[Gd1Ba2]Cu3O7.08"	-2.05504587155963	6.30581039755352	1.44495412844037	93.8
"117"	"[Dy1Ba2]Cu3O6.82"	-2.09672386895476	6.31201248049922	1.47425897035881	92.7
"118"	"[Ho1Ba2]Cu3O6.71"	-2.11487018095987	6.3147128245476	1.48701809598741	92.9
"119"	"[Er1Ba2]Cu3O6.82"	-2.09672386895476	6.31201248049922	1.47425897035881	92.4
"120"	"[Tm1Ba2]Cu3O6.65"	-2.12490118577075	6.31620553359684	1.49407114624506	92.5
"121"	"[Yb1Ba2]Cu3O6.71"	-2.11487018095987	6.3147128245476	1.48701809598741	87
"122"	"[Lu1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	87.8807692307692
"123"	"[Y1Ba2]Cu3O6.72"	-2.11320754716981	6.31446540880503	1.48584905660377	72.0714285714286
"124"	"[Nd1Ba2]Cu3O7.16"	-2.04255319148936	6.30395136778116	1.43617021276596	95.3
"125"	"[Sm1Ba2]Cu3O7.11"	-2.05034324942792	6.30511060259344	1.441647597254	93.5
"126"	"[Y1Ba2.01][Cu2.81Ni0.19]O6.7"	-2.07756155066641	6.29661683713611	1.49976949115328	65
"127"	"[Y1Ba2.02][Cu2.18Zn0.82]O7"	-1.9803709016185	6.36405529953917	1.41985873999247	30
"128"	"[Y1Ba1.99][Cu2.847Ag0.153]O6.7"	-2.01065486209614	6.31836091410559	2.62493	86
"129"	"[Y1Ba2][Cu2.902Pt0.098]O6.4"	1.29373139784946	6.31467741935484	0.272634838709677	81
"130"	"[Y1Ba2.01][Cu2.7Co0.3]O6.8"	-2.04173359164482	6.26229508196721	1.47788214149556	36
"131"	"[Y1.01Ba2.01][Cu2.906Ni0.094]O6.7"	-2.09980388604273	6.30157232704403	1.49873739014536	71
"132"	"[Y1Ba2][Cu2.697Mn0.303]O6.9"	1.30792186046512	6.21612403100775	0.143491162790697	63
"133"	"[Y1Ba2][Cu2.844Fe0.156]O7"	1.4328	6.27169230769231	0.140246153846154	57
"134"	"[Y1.01Ba2.01][Cu2.697Fe0.303]O1"	1.18453648044377	6.43034188034188	-2.26946446293466	36
"135"	"[Y0.99Ba1.99][Cu2.847Li0.153]O6.4"	-2.05847877221325	6.20516962843296	2.68510846526656	62
"136"	"[Y1.01Ba2.03][Cu2.808Li0.192]O6.6"	-2.15100229013991	6.15268987341772	1.48674371252498	33
"137"	"[Y1Ba2][Cu2.955Fe0.045]O7"	1.46638461538461	6.29730769230769	0.14423076923077	75.575
"138"	"[Y1Ba2][Cu2.895Fe0.105]O7"	1.44823076923077	6.28346153846154	0.142076923076923	68.56
"139"	"[Y1Ba2]Cu3[F0.825O1]"	2.14805111821086	6.61661341853035	-2.98437060702875	90.5
"140"	"[Y1Ba2]Cu3[F1.65O5.675]"	-2.11057508212257	6.42401500938086	1.43055792122636	90.3
"141"	"[Y1Ba2]Cu3[F0.066O7]"	-2.06119390640537	6.31118934639522	1.44701707965339	92.8
"142"	"[Y1Ba2]Cu3[F0.165O7]"	-2.05143318909254	6.31636916065325	1.43688420813821	91.6
"143"	"[Y1Ba2]Cu3[F0.016O7]"	-2.06611772967434	6.30854333128457	1.45218515375165	90.8
"144"	"[Y1Ba2]Cu3[F0.033O7]"	-2.06444416125145	6.30944525435433	1.45042418162848	92.1
"145"	"[Y1Ba2]Cu3[F0.05O7]"	-2.062770033423	6.31034482758621	1.44866715578381	92.5
"146"	"[Dy1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	89.0860869565217
"147"	"[La1.85Sr0.15][Cu0.995Ni0.005]O4"	-1.84562857142857	5.835	1.65032857142857	33.684
"148"	"[La1.85Sr0.15][Cu0.99Ni0.01]O4"	-1.84368571428571	5.83428571428571	1.65072857142857	30.5375
"149"	"[La1.85Sr0.15][Cu0.98Ni0.02]O4"	-1.8398	5.83285714285714	1.65152857142857	23.7325
"150"	"[La1.85Sr0.15][Cu0.97Ni0.03]O4"	-1.83591428571429	5.83142857142857	1.65232857142857	17.8125
"151"	"[Tl2Ca2Ba2]Cu3O10"	-2.04842105263158	5.63157894736842	1.75705263157895	118.491666666667
"152"	"[Y1Ba2][Cu2.85Ti0.15]O7"	1.42	6.22692307692308	0.104307692307692	94
"153"	"[Y1Ba2][Cu2.7Ti0.3]O7"	1.36	6.14615384615385	0.0627692307692305	92.5
"154"	"[Y1Ba2][Cu2.55Ti0.45]O7"	-1.96615384615385	6.06538461538462	2.56892307692308	92.5
"155"	"[Y1Ba2][Cu2.4Ti0.6]O7"	-1.96615384615385	5.98461538461538	2.56892307692308	93.5
"156"	"[Y1Ba2][Cu2.25Ti0.75]O7"	-1.96615384615385	5.90384615384615	2.56892307692308	88
"157"	"[Y1Ba2][Cu2.1Ti0.9]O7"	-1.96615384615385	5.82307692307692	2.56892307692308	83.5
"158"	"[Bi1Sr1Ca1]Cu2O6"	-1.96363636363636	6.09090909090909	1.55830303030303	101.25
"159"	"[Bi2Sr1.8Ca1.2]Cu2O8"	-1.90522666666667	5.73333333333333	1.72376	76.54
"160"	"[Bi2Sr3Ca4]Cu8O20"	-2.04258258258258	6.27027027027027	1.49092492492493	104
"161"	"[Bi1Sr1Ca1]Cu2O8"	-1.66153846153846	6.07692307692308	1.3185641025641	106
"162"	"[La1.85Sr0.15][Cu0.925Zn0.025]O4"	-1.81980575539568	5.80215827338129	1.65193884892086	15
"163"	"[Y1Ba2][Cu2.841Co0.159]O6.8"	1.381185	6.28765625	0.198966875	54
"164"	"[Y1Ba2.01][Cu2.806Cr0.194]O7.3"	-1.96909746874306	6.22464312546957	1.44748837209302	62
"165"	"[Y1Ba2]Cu3O6.74"	-2.10989010989011	6.31397174254317	1.48351648351648	78.275
"166"	"[Y1Ba2][Cu2.98Fe0.02]O6.93"	1.45771724671307	6.30471771075019	0.162972312451664	90.4
"167"	"[Y1Ba2][Cu2.95Fe0.05]O6.92"	1.44632404540764	6.29798761609907	0.164462332301341	91.8
"168"	"[Y1Ba2][Cu2.9Fe0.1]O6.92"	1.43122394220846	6.28637770897833	0.162670794633643	62
"169"	"[Y1Ba2][Cu2.8Fe0.2]O6.93"	1.4033441608662	6.26295436968291	0.156521268368136	49
"170"	"[Y1Ba2][Cu2.6Fe0.4]O7"	1.35897435897436	6.21538461538462	0.13148717948718	26.5
"171"	"[Y1Ba2][Cu2.95Al0.05]O6.93"	1.44942304717711	6.2784222737819	0.17303286929621	91
"172"	"[Y1Ba2][Cu2.9Al0.1]O6.93"	1.43508739365816	6.24748646558391	0.182376643464811	92
"173"	"[Y1Ba2][Cu2.8Al0.2]O6.91"	1.40177020397625	6.18590240123935	0.20618022205009	85
"174"	"[Y1Ba2][Cu2.7Al0.3]O6.99"	1.39155658198614	6.12317167051578	0.204524249422633	73
"175"	"[Y1Ba2][Cu2.6Al0.4]O7"	1.3651282051282	6.06153846153846	0.220717948717949	42
"176"	"[Y1Ba2][Cu2.9Ni0.1]O6.87"	1.41493084693085	6.3030303030303	0.171979797979798	55
"177"	"[Y1Ba2][Cu2.8Ni0.2]O6.82"	1.36842849713989	6.29641185647426	0.177823192927717	45
"178"	"[Y1Ba2][Cu2.98Co0.02]O6.9"	1.45019534883721	6.30697674418605	0.1716	93.4
"179"	"[Y1Ba2][Cu2.95Co0.05]O6.92"	1.44504437564499	6.30185758513932	0.166765737874097	94.3
"180"	"[Y1Ba2][Cu2.9Co0.1]O6.82"	1.40519604784191	6.29641185647426	0.193143005720229	73
"181"	"[Y1Ba2][Cu2.8Co0.2]O6.83"	1.37486931670564	6.28059236165238	0.191559885684594	53
"182"	"[Y1Ba2][Cu2.7Co0.3]O6.88"	1.35386335403727	6.2639751552795	0.179621118012422	22
"183"	"[Y1Ba2][Cu2.7Ni0.3]O6.97"	1.36851811873554	6.28527370855821	0.13194602929838	50.2
"184"	"[Y1Ba2][Cu2.9Zn0.1]O6.81"	1.41712412177986	6.32006245120999	0.202899297423887	55
"185"	"[Y1Ba2][Cu2.8Zn0.2]O6.79"	1.39400156372166	6.32838154808444	0.216290330987751	45
"186"	"[Y1Ba2][Cu2.7Zn0.3]O6.74"	1.36372998430141	6.33751962323391	0.237572998430141	45
"187"	"[Y1Ba2]Cu3O6.85"	-2.09182879377432	6.31128404669261	1.47081712062257	87.3363636363636
"188"	"[Gd1Ba1.8Sr0.2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	94.7
"189"	"[Gd1Ba1.6Sr0.4]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	92.4
"190"	"[Gd1Ba1.4Sr0.6]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	89.4
"191"	"[Gd1Ba1.2Sr0.8]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	90.7
"192"	"[Gd1Ba1Sr1]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	85.2
"193"	"[La2.89Na0.11]Cu1O4"	-2.11343333333333	5.4725	2.08711666666667	16
"194"	"[La2.89Na0.41]Cu1O4"	-2.20299963490325	5.31084337349398	2.17870463672873	18
"195"	"[Bi1Ca1Sr1]Cu2O6"	-1.96363636363636	6.09090909090909	1.55830303030303	72.5
"196"	"[Eu1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	89.7112
"197"	"[Nd1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	91.84
"198"	"[La1.8Sr0.2]Cu1O4"	-1.84914285714286	5.82857142857143	1.65085714285714	31.2371428571429
"199"	"[Y1.2Ba0.8]Cu1O4"	-1.86342857142857	5.74285714285714	1.65994285714286	84.75
"200"	"[Gd1Ba2][Cu2.82Fe0.18]O9"	-1.78666666666667	6.23066666666667	2.48506666666667	42
"201"	"[Er0.75Yb0.25Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	87.6
"202"	"[Er0.62Yb0.38Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	88.3
"203"	"[Er0.5Yb0.5Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	89.3
"204"	"[Er0.37Yb0.63Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	87.8
"205"	"[Er0.25Yb0.75Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	86.3
"206"	"[Yb1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	90.5111111111111
"207"	"[Y1Ba2][Cu2.9Fe0.1]O7"	1.44974358974359	6.28461538461539	0.142256410256411	85.25
"208"	"[Y1Ba2][Cu2.8Fe0.2]O7"	1.41948717948718	6.26153846153846	0.138666666666667	62.3333333333333
"209"	"[Y1Ba2][Cu2.9Ni0.1]O7"	1.4451282051282	6.3	0.138666666666667	81.54
"210"	"[Y1Ba2][Cu2.8Ni0.2]O7"	1.41025641025641	6.29230769230769	0.13148717948718	71.9666666666667
"211"	"[Y1Ba2][Cu2.9Co0.1]O7"	1.44717948717949	6.29230769230769	0.146871794871795	82.2
"212"	"[Y1Ba2][Cu2.7Co0.3]O7"	1.38153846153846	6.26153846153846	0.148923076923076	41.9333333333333
"213"	"[Y1Ba2][Cu2.6Co0.4]O7"	1.34871794871795	6.24615384615385	0.149948717948718	15
"214"	"[Y1Ba2][Cu2.9Zn0.1]O7"	1.46153846153846	6.31538461538462	0.154051282051282	56.3
"215"	"[Y1Ba2][Cu2.8Zn0.2]O7"	1.44307692307692	6.32307692307692	0.162256410256411	52.7333333333333
"216"	"[Y1Ba2][Cu2.94Ga0.06]O7"	1.46092307692308	6.27076923076923	0.156461538461538	87.2966666666667
"217"	"[Y1Ba2][Cu2.85Ga0.15]O7"	1.43230769230769	6.21538461538462	0.172384615384615	75.2842857142857
"218"	"[Y1Ba2][Cu2.7Ga0.3]O7"	1.38461538461538	6.12307692307692	0.198923076923077	53.5666666666667
"219"	"[Y1Ba2]Cu3O6.98"	-2.0708782742681	6.30816640986133	1.45608628659476	89.8571428571429
"220"	"[Bi1Sr1]Cu1O4.5"	-1.644	6	1.41026666666667	6.5
"221"	"[Nd1.2Ba1.8]Cu3O7"	-2.06769230769231	6.32307692307692	1.45384615384615	63.48
"222"	"[Nd1.08Ba1.92]Cu3O7"	-2.06769230769231	6.31384615384615	1.45384615384615	86
"223"	"[Nd1.32Ba1.68]Cu3O7"	-2.06769230769231	6.33230769230769	1.45384615384615	20
"224"	"[Y1Ba2][Cu2.97Mo0.03]O7"	1.46676923076923	6.29615384615385	0.135384615384615	76
"225"	"[Y1Ba2][Cu2.94Mo0.06]O7"	1.45353846153846	6.28461538461538	0.124923076923077	63
"226"	"[Y1Ba2][Cu2.895Mo0.105]O7"	1.43369230769231	6.26730769230769	0.109230769230769	52.5
"227"	"[Y1Ba2][Cu2.85Mo0.15]O7"	1.41384615384615	6.25	0.0935384615384613	50
"228"	"[Y1Ba2][Cu2.97Zn0.03]O7"	1.47446153846154	6.31	0.148307692307692	77.8788888888889
"229"	"[Y1Ba2][Cu2.94Zn0.06]O7"	1.46892307692308	6.31230769230769	0.150769230769231	66.4711111111111
"230"	"[Y1Ba2][Cu2.895Zn0.105]O7"	1.46061538461538	6.31576923076923	0.154461538461539	52
"231"	"[Y1Ba2][Cu2.85Zn0.15]O7"	1.45230769230769	6.31923076923077	0.158153846153846	42.4286666666667
"232"	"[Y1Ba2][Cu2.97Al0.03]O7"	1.47138461538462	6.28923076923077	0.151461538461539	83.55
"233"	"[Y1Ba2][Cu2.94Al0.06]O7"	1.46276923076923	6.27076923076923	0.157076923076923	75.1
"234"	"[Y1Ba2][Cu2.885Al0.105]O7"	-2.04755966127791	6.23941493456505	1.44259892224788	42
"235"	"[Y1Ba2][Cu2.85Al0.15]O7"	1.43692307692308	6.21538461538462	0.173923076923077	33
"236"	"[Y1Ba1.95La0.05]Cu3O7"	-2.06769230769231	6.31153846153846	1.45384615384615	86.6
"237"	"[Y1Ba1.85La0.15]Cu3O7"	-2.06769230769231	6.31923076923077	1.45384615384615	88.85
"238"	"[Y1Ba1.75La0.25]Cu3O7"	-2.06769230769231	6.32692307692308	1.45384615384615	82.25
"239"	"[Y1Ba1.65La0.35]Cu3O7"	-2.06769230769231	6.33461538461539	1.45384615384615	64
"240"	"[Tm1Ba2]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	90.9181818181818
"241"	"[Nd1Ba2]Cu3[S1O6]"	-1.97934065934066	6.30769230769231	1.37010989010989	69
"242"	"[Nd1Ba2]Cu3[S1O5]"	-2.12833333333333	6.33333333333333	1.46916666666667	56
"243"	"[Eu1Ba2]Cu3[S1O6]"	-1.97934065934066	6.30769230769231	1.37010989010989	85
"244"	"[Gd1Ba2]Cu3[S1O6]"	-1.97934065934066	6.30769230769231	1.37010989010989	92
"245"	"[Y1Ba2]Cu3O6.89"	-2.08533747090768	6.31031807602793	1.46625290923196	86.34
"246"	"[Y1Ba2]Cu3[S0.03O7.12]"	-2.04154112047648	6.3041825095057	1.43483102448882	90
"247"	"[Y1Ba2]Cu3[S0.06O7.23]"	-2.01759421824634	6.30097817908202	1.41740285557692	89
"248"	"[Y1Ba2]Cu3[S0.12O7.28]"	-1.996240419524	6.29850746268657	1.40122630092779	89
"249"	"[Y1Ba2][Cu2.975Zn0.025]O7"	1.47538461538461	6.30961538461538	0.147897435897436	82.8
"250"	"[Y1Ba2][Cu2.95Zn0.05]O7"	1.47076923076923	6.31153846153846	0.149948717948718	73.45
"251"	"[Y1Ba2][Cu2.925Zn0.075]O7"	1.46615384615385	6.31346153846154	0.152	61.3666666666667
"252"	"[Y1Ba2][Cu2.7Zn0.3]O7"	1.42461538461538	6.33076923076923	0.170461538461539	31.2
"253"	"[Gd1Ba2]Cu3O6.9"	-2.08372093023256	6.31007751937985	1.46511627906977	92
